lat,lng,pop
15.3547,44.2066,2008000
12.7797,45.0095,1000000
-26.6496,27.96,1074000
-29.865,30.98,2729000
-26.17,28.03,3435000
-26.1496,28.3299,2986000
-33.97,25.6,1021000
-25.7069,28.2294,1338000
-33.92,18.435,3215000
-15.4166,28.2833,1328000
-17.8178,31.0447,1572000
43.325,76.915,1209000
33.872,35.5097,1846000
6.3106,-10.8048,1041000
32.8925,13.18,2189000
32.1167,20.0667,1180000
34.0546,-5.0004,1002000
33.6,-7.6164,3181000
34.0253,-6.8361,1705000
-18.9166,47.5166,1697000
12.65,-8,1494000
16.7834,96.1667,4088000
21.97,96.085,1300000
20.67,-103.33,4198000
25.67,-100.33,3712000
19.4424,-99.131,19028000
21.15,-101.7,1488000
19.3304,-99.67,1531000
19.05,-98.2,2195000
19.41,-99.03,1109363
25.5701,-103.42,1144000
32.5,-117.08,1553000
31.6904,-106.49,1343000
3.1667,101.7,1448000
5.4136,100.3294,2500000
-25.9553,32.5892,1446000
9.0833,7.5333,1576000
4.81,7.01,1020000
6.4433,3.3915,9466000
7.38,3.93,2628000
6.3405,5.62,1190000
10.52,7.44,1442000
12,8.52,3140000
7.5304,5.76,1099931
52.35,4.9166,1031000
52.08,4.27,1406000
51.92,4.48,1005000
-36.8481,174.763,1377200
8.968,-79.533,1281000
-12.048,-77.0501,8012000
14.6042,120.9822,11100000
8.4508,124.6853,1121561
7.11,125.63,1402000
14.6504,121.03,2761720
24.87,66.99,12130000
25.38,68.375,1459000
34.75,72.35,1860310
31.56,74.35,6577000
34.005,71.535,1303000
32.1604,74.185,1513000
33.6,73.04,1858000
34.1495,73.1995,1183647
30.2,71.455,1522000
31.41,73.11,2617000
50.2604,19.02,2746000
52.25,21,1707000
38.7227,-9.1449,2812000
41.15,-8.62,1337000
-25.2964,-57.6415,1870000
25.2866,51.533,1450000
44.4334,26.0999,1942000
44.8186,20.468,1099000
56.333,44.0001,1278000
54.99,73.4,1135000
59.939,30.316,4553000
55.7522,37.6155,10452000
53.195,50.1513,1137000
54.79,56.04,1018000
55.7499,49.1263,1115000
55.03,82.96,1389000
56.85,60.6,1313000
47.2346,39.7127,1052000
55.155,61.4387,1091000
24.5,39.58,1010000
21.43,39.82,1385000
